frequency,mfpt,success_rate,is_schumann
6.0,7.450496699779985,0.32,False
6.2,7.450746716447764,0.32,False
6.4,7.4565596039735995,0.32,False
6.6,7.450621708113875,0.32,False
6.8,7.456497099806654,0.32,False
7.0,7.449871658110542,0.32,False
7.2,7.457184645643043,0.32,False
7.4,7.450184178945263,0.32,False
7.6,7.456309587305821,0.32,False
7.8,7.4513092539502646,0.32,False
8.0,7.449121608107208,0.32,False
8.2,7.448934095606375,0.32,False
8.4,7.449934162277486,0.32,False
8.6,7.449809153943597,0.32,False
8.8,7.449121608107208,0.32,False
9.0,7.4498091539435976,0.32,False
9.2,7.449871658110541,0.32,False
9.4,7.45012167477832,0.32,False
9.6,7.450496699779986,0.32,False
9.8,7.4506842122808195,0.32,False
10.0,7.4502466831122085,0.32,False
