frequency,mfpt,success_rate,resonance_factor,is_schumann
6.0,19.01431746319974,0.6333333333333333,0.2224250240804532,False
6.166666666666667,14.158808515667436,0.7333333333333333,0.25719379701512995,False
6.333333333333333,15.785537495580243,0.7,0.2995505764982207,False
6.5,16.138948928268658,0.7333333333333333,0.35130315697189696,False
6.666666666666667,16.116152903822595,0.8,0.4144651137810865,False
6.833333333333333,15.081637910512978,0.7666666666666667,0.49093092954157497,False
7.0,17.97330647551903,0.7,0.5816866463943984,False
7.166666666666666,20.471459154899918,0.6333333333333333,0.6852483121208749,False
7.333333333333333,14.899633360399225,0.7666666666666667,0.79522516218898,False
7.5,18.3595642522642,0.6333333333333333,0.897923943847624,False
7.666666666666666,12.628482378726133,0.8,0.9729057659705206,False
7.833333333333333,17.112427810695266,0.5333333333333333,0.9999884013110144,True
8.0,14.45927814862038,0.8,0.9707149473150882,False
8.166666666666666,14.738576797753277,0.8,0.894198761397678,False
8.333333333333332,18.557303932598312,0.8333333333333334,0.7908484441523772,False
8.5,20.76825994723942,0.9,0.6809187181039222,False
8.666666666666666,17.856499044055045,0.6333333333333333,0.5777883771131848,False
8.833333333333332,14.869917202475516,0.7333333333333333,0.48759913275272426,False
9.0,14.83789475689273,0.7,0.4116943160184934,False
9.166666666666666,17.59463034194902,0.7,0.34902766229375387,False
9.333333333333332,13.790526581346352,0.7333333333333333,0.29768883596931645,False
9.5,16.602526174265467,0.6,0.25566840493164056,False
9.666666666666666,15.577339433485836,0.6666666666666666,0.2211697286364404,False
9.833333333333332,17.05107627690692,0.6666666666666666,0.19269654455534946,False
10.0,17.448618033632656,0.7333333333333333,0.1690447600285101,False
