sigma,mfpt,success_rate,relative_change
0.27,2.9055811162232446,0.1,-9.999999999999991
0.2742857142857143,2.9055811162232446,0.1,-8.571428571428562
0.2785714285714286,2.9055811162232446,0.1,-7.142857142857137
0.28285714285714286,2.9055811162232446,0.1,-5.714285714285709
0.28714285714285714,2.9055811162232446,0.1,-4.285714285714281
0.2914285714285714,2.9055811162232446,0.1,-2.8571428571428545
0.2957142857142857,2.9055811162232446,0.1,-1.4285714285714273
0.30000000000000004,2.9055811162232446,0.1,1.8503717077085944e-14
0.3042857142857143,2.9055811162232446,0.1,1.4285714285714457
0.3085714285714286,2.9055811162232446,0.1,2.857142857142873
0.3128571428571429,2.9055811162232446,0.1,4.285714285714301
0.31714285714285717,2.9055811162232446,0.1,5.714285714285728
0.32142857142857145,2.9055811162232446,0.1,7.142857142857155
0.32571428571428573,2.9055811162232446,0.1,8.571428571428582
0.33,2.9055811162232446,0.1,10.000000000000009
